COSTO POR COBRO MP EN 3 CUOTAS ,30%,,,,,,,
COSTO POR OFRECER 6 CUOTAS ,50%,,,,,,,
COSTOS FIJOS (S/A/C/G),"$40,000.00",,,,,,,
GANANCIA 50% mas 10% iibb+manotributo total60%,1.6,,,,,,,
DOLAR,"$1,500.00",,,,,,,
,,,,,,,,
REPARACION,TIPO DE REPARACION,PRECIO DEL REPUESTO EN USD ,PRECIO DEL REPUESTO EN PESOS ,PRECIO CON 60% de ganancia ,PRECIO DE LA REPARACION CON COSTOS FIJOS,PRECIO DE LA REPARACION EN EFECTIVO O TRANSFERENCIA ,PRECIO DE LA CUOTA EN  3 PARTES,PRECIO DE LA REPARACION EN 6 CUOTAS 
Cambio de Camara frontal 15 pro,CAMBIO DE CAMARA ,$34.00,"$51,000.00","$81,600.00","$121,600.00","$150,000.00","$195,000.00","$225,000.00"
Cambio de Camara frontal 15 pro max,CAMBIO DE CAMARA ,$34.00,"$51,000.00","$81,600.00","$121,600.00","$170,000.00","$221,000.00","$255,000.00"
Cambio de Camara frontal 16,CAMBIO DE CAMARA ,$35.00,"$52,500.00","$84,000.00","$124,000.00","$150,000.00","$195,000.00","$225,000.00"
Cambio de Camara frontal 16 plus,CAMBIO DE CAMARA ,$36.00,"$54,000.00","$86,400.00","$126,400.00","$170,000.00","$221,000.00","$255,000.00"
Cambio de Camara frontal 16 pro,CAMBIO DE CAMARA ,$36.00,"$54,000.00","$86,400.00","$126,400.00","$180,000.00","$234,000.00","$270,000.00"
Cambio de Camara frontal 16 pro max,CAMBIO DE CAMARA ,$75.00,"$112,500.00","$180,000.00","$220,000.00","$220,000.00","$286,000.00","$330,000.00"
Cambio de Flex Encendido 6G,CAMBIO DE FLEX VARIOS,$2.00,"$3,000.00","$4,800.00","$44,800.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de Flex Volumen 6G,CAMBIO DE FLEX VARIOS,$2.00,"$3,000.00","$4,800.00","$44,800.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de Flex Encendido 6P,CAMBIO DE FLEX VARIOS,$2.00,"$3,000.00","$4,800.00","$44,800.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de Flex Volumen 6P,CAMBIO DE FLEX VARIOS,$2.00,"$3,000.00","$4,800.00","$44,800.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de Flex Encendido y Volumen 6S,CAMBIO DE FLEX VARIOS,$3.00,"$4,500.00","$7,200.00","$47,200.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de Flex Encendido 6SP,CAMBIO DE FLEX VARIOS,$2.00,"$3,000.00","$4,800.00","$44,800.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de Flex Volumen 6SP,CAMBIO DE FLEX VARIOS,$2.00,"$3,000.00","$4,800.00","$44,800.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de Flex Encendido y Volumen 7G,CAMBIO DE FLEX VARIOS,$3.00,"$4,500.00","$7,200.00","$47,200.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de Flex Encendido y Volumen 7P,CAMBIO DE FLEX VARIOS,$3.00,"$4,500.00","$7,200.00","$47,200.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de Flex Encendido y Volumen 8G/SE2/SE3,CAMBIO DE FLEX VARIOS,$3.00,"$4,500.00","$7,200.00","$47,200.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de Flex Encendido y Volumen 8P,CAMBIO DE FLEX VARIOS,$3.00,"$4,500.00","$7,200.00","$47,200.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de Flex Encendido IPHONE X,CAMBIO DE FLEX VARIOS,$2.00,"$3,000.00","$4,800.00","$44,800.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de Flex Volumen Carga Inala IPHONE  X,CAMBIO DE FLEX VARIOS,$4.00,"$6,000.00","$9,600.00","$49,600.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de Flex Encendido y Volumen XR,CAMBIO DE FLEX VARIOS,$2.00,"$3,000.00","$4,800.00","$44,800.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de Flex Encendido XS/XS MAX,CAMBIO DE FLEX VARIOS,$2.00,"$3,000.00","$4,800.00","$44,800.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de Flex Volumen Carga Inala. XS,CAMBIO DE FLEX VARIOS,$5.00,"$7,500.00","$12,000.00","$52,000.00","$65,000.00","$84,500.00","$97,500.00"
Cambio de Flex Volumen Carga Inala. XS MAX,CAMBIO DE FLEX VARIOS,$5.00,"$7,500.00","$12,000.00","$52,000.00","$65,000.00","$84,500.00","$97,500.00"
Cambio de Flex Encendido 11,CAMBIO DE FLEX VARIOS,$3.00,"$4,500.00","$7,200.00","$47,200.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de Flex Volumen 11,CAMBIO DE FLEX VARIOS,$3.00,"$4,500.00","$7,200.00","$47,200.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de Flex Encendido 11P,CAMBIO DE FLEX VARIOS,$4.00,"$6,000.00","$9,600.00","$49,600.00","$65,000.00","$84,500.00","$97,500.00"
Cambio de Flex Volumen Carga Inala. 11P,CAMBIO DE FLEX VARIOS,$5.00,"$7,500.00","$12,000.00","$52,000.00","$65,000.00","$84,500.00","$97,500.00"
Cambio de Flex Encendido 11PM,CAMBIO DE FLEX VARIOS,$4.00,"$6,000.00","$9,600.00","$49,600.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de Flex Volumen Carga Inala. 11 PM,CAMBIO DE FLEX VARIOS,$6.00,"$9,000.00","$14,400.00","$54,400.00","$65,000.00","$84,500.00","$97,500.00"
Cambio de Flex Enc. Vol. Carga Inalam. 12M,CAMBIO DE FLEX VARIOS,$6.00,"$9,000.00","$14,400.00","$54,400.00","$65,000.00","$84,500.00","$97,500.00"
Cambio de Flex Enc. Vol. Carga Inalam. 12/12 PRO,CAMBIO DE FLEX VARIOS,$6.00,"$9,000.00","$14,400.00","$54,400.00","$65,000.00","$84,500.00","$97,500.00"
Cambio de Flex Enc. Vol. Carga Inalam. 12 PRO MAX,CAMBIO DE FLEX VARIOS,$6.00,"$9,000.00","$14,400.00","$54,400.00","$68,000.00","$88,400.00","$102,000.00"
Cambio de Flex Enc. Vol. Carga Inalam. 13 MINI,CAMBIO DE FLEX VARIOS,$9.00,"$13,500.00","$21,600.00","$61,600.00","$65,000.00","$84,500.00","$97,500.00"
Cambio de Flex Enc. Vol. Carga Inalam. 13,CAMBIO DE FLEX VARIOS,$8.00,"$12,000.00","$19,200.00","$59,200.00","$65,000.00","$84,500.00","$97,500.00"
Cambio de Flex Enc. Vol. Carga Inalam. 13 PRO,CAMBIO DE FLEX VARIOS,$6.00,"$9,000.00","$14,400.00","$54,400.00","$85,000.00","$110,500.00","$127,500.00"
Cambio de Flex Enc. Vol. Carga Inalam. 13 PRO MAX,CAMBIO DE FLEX VARIOS,$7.00,"$10,500.00","$16,800.00","$56,800.00","$85,000.00","$110,500.00","$127,500.00"
Cambio de Flex Encendido IPHONE  14,CAMBIO DE FLEX VARIOS,$4.00,"$6,000.00","$9,600.00","$49,600.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de Flex Volumen IPHONE 14,CAMBIO DE FLEX VARIOS,$4.00,"$6,000.00","$9,600.00","$49,600.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de Flex Encendido 14 PLUS,CAMBIO DE FLEX VARIOS,$4.00,"$6,000.00","$9,600.00","$49,600.00","$65,000.00","$84,500.00","$97,500.00"
Cambio de Flex Volumen 14 PLUS,CAMBIO DE FLEX VARIOS,$4.00,"$6,000.00","$9,600.00","$49,600.00","$65,000.00","$84,500.00","$97,500.00"
Cambio de Flex Enc. Vol. Carga Inalam 14 PRO,CAMBIO DE FLEX VARIOS,$13.00,"$19,500.00","$31,200.00","$71,200.00","$85,000.00","$110,500.00","$127,500.00"
Cambio de Flex Enc. Vol. Carga Inalam 14 PRO  MAX,CAMBIO DE FLEX VARIOS,$16.00,"$24,000.00","$38,400.00","$78,400.00","$88,000.00","$114,400.00","$132,000.00"
Cambio de Flex ENCENDIDO Y VOLUMEN 15P,CAMBIO DE FLEX VARIOS,$9.00,"$13,500.00","$21,600.00","$61,600.00","$88,000.00","$114,400.00","$132,000.00"
Cambio de Flex ENCENDIDO Y VOLUMEN 15PM,CAMBIO DE FLEX VARIOS,$12.00,"$18,000.00","$28,800.00","$68,800.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex ENCENDIDO IPHONE 15,CAMBIO DE FLEX VARIOS,$4.00,"$6,000.00","$9,600.00","$49,600.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de Flex VOLUMEN IPHONE 15,CAMBIO DE FLEX VARIOS,$4.00,"$6,000.00","$9,600.00","$49,600.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de Flex ENCENDIDO 15 PLUS,CAMBIO DE FLEX VARIOS,$4.00,"$6,000.00","$9,600.00","$49,600.00","$65,000.00","$84,500.00","$97,500.00"
Cambio de Flex  VOLUMEN 15 PLUS,CAMBIO DE FLEX VARIOS,$4.00,"$6,000.00","$9,600.00","$49,600.00","$65,000.00","$84,500.00","$97,500.00"
cambio de flex volumen iphone 16,CAMBIO DE FLEX VARIOS,$7.00,"$10,500.00","$16,800.00","$56,800.00","$85,000.00","$110,500.00","$127,500.00"
Cambio de flex encendido iphone 16,CAMBIO DE FLEX VARIOS,$10.00,"$15,000.00","$24,000.00","$64,000.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de flex encendido iphone 16 plus ,CAMBIO DE FLEX VARIOS,$12.00,"$18,000.00","$28,800.00","$68,800.00","$85,000.00","$110,500.00","$127,500.00"
cambio de flex volumen iphone 16 plus ,CAMBIO DE FLEX VARIOS,$6.00,"$9,000.00","$14,400.00","$54,400.00","$85,000.00","$110,500.00","$127,500.00"
cambio de flex volumen iphone 16 pro ,CAMBIO DE FLEX VARIOS,$8.00,"$12,000.00","$19,200.00","$59,200.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de flex encendido iphone 16pro ,CAMBIO DE FLEX VARIOS,$10.00,"$15,000.00","$24,000.00","$64,000.00","$85,000.00","$110,500.00","$127,500.00"
Cambio de flex encendido iphone 16 pro max ,CAMBIO DE FLEX VARIOS,$10.00,"$15,000.00","$24,000.00","$64,000.00","$85,000.00","$110,500.00","$127,500.00"
cambio de flex volumen iphone 16 pro max ,CAMBIO DE FLEX VARIOS,$8.00,"$12,000.00","$19,200.00","$59,200.00","$95,000.00","$123,500.00","$142,500.00"
Cambio de Flex Flash IPHONE 12 MINI,CAMBIO DE FLEX VARIOS,$3.00,"$4,500.00","$7,200.00","$47,200.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de Flex Flash IPHONE 12,CAMBIO DE FLEX VARIOS,$3.00,"$4,500.00","$7,200.00","$47,200.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de Flex Flash IPHONE 12 PRO,CAMBIO DE FLEX VARIOS,$6.00,"$9,000.00","$14,400.00","$54,400.00","$65,000.00","$84,500.00","$97,500.00"
Cambio de Flex Flash IPHONE 12 PRO MAX,CAMBIO DE FLEX VARIOS,$6.00,"$9,000.00","$14,400.00","$54,400.00","$65,000.00","$84,500.00","$97,500.00"
Cambio de Flex Flash IPHONE 13 MINI,CAMBIO DE FLEX VARIOS,$4.00,"$6,000.00","$9,600.00","$49,600.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de Flex Flash IPHONE 13,CAMBIO DE FLEX VARIOS,$4.00,"$6,000.00","$9,600.00","$49,600.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de Flex Flash IPHONE 13 PRO,CAMBIO DE FLEX VARIOS,$10.00,"$15,000.00","$24,000.00","$64,000.00","$75,000.00","$97,500.00","$112,500.00"
Cambio de Flex Flash IPHONE 13 PRO MAX,CAMBIO DE FLEX VARIOS,$10.00,"$15,000.00","$24,000.00","$64,000.00","$75,000.00","$97,500.00","$112,500.00"
Cambio de Flex Flash Carga Inalamb. IPHONE 14,CAMBIO DE FLEX VARIOS,$8.00,"$12,000.00","$19,200.00","$59,200.00","$120,000.00","$156,000.00","$180,000.00"
Cambio de Flex Flash Carga Inalamb. IPHONE 14 PLUS,CAMBIO DE FLEX VARIOS,$9.00,"$13,500.00","$21,600.00","$61,600.00","$120,000.00","$156,000.00","$180,000.00"
Cambio de Flex Flash IPHONE 14 PRO,CAMBIO DE FLEX VARIOS,$6.00,"$9,000.00","$14,400.00","$54,400.00","$120,000.00","$156,000.00","$180,000.00"
Cambio de Flex Flash IPHONE 14 PRO MAX,CAMBIO DE FLEX VARIOS,$6.00,"$9,000.00","$14,400.00","$54,400.00","$120,000.00","$156,000.00","$180,000.00"
Cambio de Flex Flash  15,CAMBIO DE FLEX VARIOS,$14.00,"$21,000.00","$33,600.00","$73,600.00","$75,000.00","$97,500.00","$112,500.00"
Cambio de Flex Flash 15PLUS,CAMBIO DE FLEX VARIOS,$19.00,"$28,500.00","$45,600.00","$85,600.00","$85,600.00","$111,280.00","$128,400.00"
Cambio de Flex Flash 15P,CAMBIO DE FLEX VARIOS,$15.00,"$22,500.00","$36,000.00","$76,000.00","$76,000.00","$98,800.00","$114,000.00"
Cambio de Flex Flash 15PM,CAMBIO DE FLEX VARIOS,$36.00,"$54,000.00","$86,400.00","$126,400.00","$126,500.00","$164,450.00","$189,750.00"
Cambio de Flex Flash 16,CAMBIO DE FLEX VARIOS,$29.00,"$43,500.00","$69,600.00","$109,600.00","$110,000.00","$143,000.00","$165,000.00"
Cambio de Flex Flash 16PLUS,CAMBIO DE FLEX VARIOS,$38.00,"$57,000.00","$91,200.00","$131,200.00","$131,500.00","$170,950.00","$197,250.00"
Cambio de Flex Flash 16P,CAMBIO DE FLEX VARIOS,$31.00,"$46,500.00","$74,400.00","$114,400.00","$114,500.00","$148,850.00","$171,750.00"
Cambio de Flex Flash 16PM,CAMBIO DE FLEX VARIOS,$46.00,"$69,000.00","$110,400.00","$150,400.00","$150,500.00","$195,650.00","$225,750.00"
Cambio de Vibrador iphone 6G,CAMBIO DE VIBRADOR,$2.00,"$3,000.00","$4,800.00","$44,800.00","$44,800.00","$58,240.00","$67,200.00"
Cambio de Vibrador iphone 6P,CAMBIO DE VIBRADOR,$2.00,"$3,000.00","$4,800.00","$44,800.00","$44,800.00","$58,240.00","$67,200.00"
Cambio de Vibrador iphone 6S,CAMBIO DE VIBRADOR,$2.00,"$3,000.00","$4,800.00","$44,800.00","$44,800.00","$58,240.00","$67,200.00"
Cambio de Vibrador iphone 6SP,CAMBIO DE VIBRADOR,$2.00,"$3,000.00","$4,800.00","$44,800.00","$44,800.00","$58,240.00","$67,200.00"
Cambio de Vibrador iphone 7G,CAMBIO DE VIBRADOR,$2.00,"$3,000.00","$4,800.00","$44,800.00","$44,800.00","$58,240.00","$67,200.00"
Cambio de Vibrador iphone 7P,CAMBIO DE VIBRADOR,$2.00,"$3,000.00","$4,800.00","$44,800.00","$44,800.00","$58,240.00","$67,200.00"
Cambio de Vibrador iphone 8G/SE2/SE3,CAMBIO DE VIBRADOR,$2.00,"$3,000.00","$4,800.00","$44,800.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de Vibrador iphone 8P,CAMBIO DE VIBRADOR,$6.00,"$9,000.00","$14,400.00","$54,400.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de Vibrador iphone X/XR/11,CAMBIO DE VIBRADOR,$2.00,"$3,000.00","$4,800.00","$44,800.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de Vibrador iphone XS,CAMBIO DE VIBRADOR,$3.00,"$4,500.00","$7,200.00","$47,200.00","$47,500.00","$61,750.00","$71,250.00"
Cambio de Vibrador iphone XSM,CAMBIO DE VIBRADOR,$3.00,"$4,500.00","$7,200.00","$47,200.00","$47,500.00","$61,750.00","$71,250.00"
Cambio de Vibrador iphone 11 pro,CAMBIO DE VIBRADOR,$4.00,"$6,000.00","$9,600.00","$49,600.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de Vibrador iphone 11 pro max,CAMBIO DE VIBRADOR,$3.00,"$4,500.00","$7,200.00","$47,200.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de Vibrador iphone 12 mini,CAMBIO DE VIBRADOR,$3.00,"$4,500.00","$7,200.00","$47,200.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de Vibrador iphone 12/12 pro,CAMBIO DE VIBRADOR,$3.00,"$4,500.00","$7,200.00","$47,200.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de Vibrador iphone 12 pro max,CAMBIO DE VIBRADOR,$3.00,"$4,500.00","$7,200.00","$47,200.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de Vibrador iphone 13 mini,CAMBIO DE VIBRADOR,$7.00,"$10,500.00","$16,800.00","$56,800.00","$56,800.00","$73,840.00","$85,200.00"
Cambio de Vibrador iphone 13,CAMBIO DE VIBRADOR,$3.00,"$4,500.00","$7,200.00","$47,200.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de Vibrador iphone 13 pro,CAMBIO DE VIBRADOR,$3.00,"$4,500.00","$7,200.00","$47,200.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de Vibrador iphone 13 pro max,CAMBIO DE VIBRADOR,$3.00,"$4,500.00","$7,200.00","$47,200.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de Vibrador iphone 14,CAMBIO DE VIBRADOR,$3.00,"$4,500.00","$7,200.00","$47,200.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de Vibrador iphone 14 plus,CAMBIO DE VIBRADOR,$7.00,"$10,500.00","$16,800.00","$56,800.00","$56,800.00","$73,840.00","$85,200.00"
Cambio de Vibrador iphone 14 pro,CAMBIO DE VIBRADOR,$3.00,"$4,500.00","$7,200.00","$47,200.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de Vibrador iphone 14 pro max,CAMBIO DE VIBRADOR,$3.00,"$4,500.00","$7,200.00","$47,200.00","$65,000.00","$84,500.00","$97,500.00"
Cambio de Vibrador iphone 15,CAMBIO DE VIBRADOR,$3.00,"$4,500.00","$7,200.00","$47,200.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de Vibrador iphone 15 plus,CAMBIO DE VIBRADOR,$8.00,"$12,000.00","$19,200.00","$59,200.00","$59,500.00","$77,350.00","$89,250.00"
Cambio de Vibrador iphone 15 pro,CAMBIO DE VIBRADOR,$3.00,"$4,500.00","$7,200.00","$47,200.00","$65,000.00","$84,500.00","$97,500.00"
Cambio de Vibrador iphone 15 pro max,CAMBIO DE VIBRADOR,$3.00,"$4,500.00","$7,200.00","$47,200.00","$65,000.00","$84,500.00","$97,500.00"
Cambio de Vibrador iphone 16,CAMBIO DE VIBRADOR,$4.00,"$6,000.00","$9,600.00","$49,600.00","$65,000.00","$84,500.00","$97,500.00"
Cambio de Vibrador iphone 16PLUS,CAMBIO DE VIBRADOR,$7.00,"$10,500.00","$16,800.00","$56,800.00","$65,000.00","$84,500.00","$97,500.00"
Cambio de Vibrador iphone 16P,CAMBIO DE VIBRADOR,$5.00,"$7,500.00","$12,000.00","$52,000.00","$65,000.00","$84,500.00","$97,500.00"
Cambio de Vibrador iphone 16PM,CAMBIO DE VIBRADOR,$5.00,"$7,500.00","$12,000.00","$52,000.00","$65,000.00","$84,500.00","$97,500.00"
Cambio de Alta Voz iphone 6G,CAMBIO DE ALTA VOZ ,$2.00,"$3,000.00","$4,800.00","$44,800.00","$44,800.00","$58,240.00","$67,200.00"
Cambio de Alta Voz iphone 6 plus,CAMBIO DE ALTA VOZ ,$2.00,"$3,000.00","$4,800.00","$44,800.00","$44,800.00","$58,240.00","$67,200.00"
Cambio de Alta Voz iphone 6s,CAMBIO DE ALTA VOZ ,$2.00,"$3,000.00","$4,800.00","$44,800.00","$44,800.00","$58,240.00","$67,200.00"
Cambio de Alta Voz iphone 6s plus,CAMBIO DE ALTA VOZ ,$3.00,"$4,500.00","$7,200.00","$47,200.00","$47,500.00","$61,750.00","$71,250.00"
Cambio de Alta Voz iphone 7G,CAMBIO DE ALTA VOZ ,$3.00,"$4,500.00","$7,200.00","$47,200.00","$47,500.00","$61,750.00","$71,250.00"
Cambio de Alta Voz iphone 7 plus,CAMBIO DE ALTA VOZ ,$2.00,"$3,000.00","$4,800.00","$44,800.00","$44,800.00","$58,240.00","$67,200.00"
Cambio de Alta Voz iphone 8G/SE2/SE3,CAMBIO DE ALTA VOZ ,$2.00,"$3,000.00","$4,800.00","$44,800.00","$44,800.00","$58,240.00","$67,200.00"
Cambio de Alta Voz iphone 8 plus,CAMBIO DE ALTA VOZ ,$2.00,"$3,000.00","$4,800.00","$44,800.00","$44,800.00","$58,240.00","$67,200.00"
Cambio de Alta Voz iphone X,CAMBIO DE ALTA VOZ ,$2.00,"$3,000.00","$4,800.00","$44,800.00","$44,800.00","$58,240.00","$67,200.00"
Cambio de Alta Voz iphone XR/11,CAMBIO DE ALTA VOZ ,$2.00,"$3,000.00","$4,800.00","$44,800.00","$44,800.00","$58,240.00","$67,200.00"
Cambio de Alta Voz iphone XS,CAMBIO DE ALTA VOZ ,$2.00,"$3,000.00","$4,800.00","$44,800.00","$44,800.00","$58,240.00","$67,200.00"
Cambio de Alta Voz iphone xs max,CAMBIO DE ALTA VOZ ,$2.00,"$3,000.00","$4,800.00","$44,800.00","$44,800.00","$58,240.00","$67,200.00"
Cambio de Alta Voz iphone 11 pro,CAMBIO DE ALTA VOZ ,$5.00,"$7,500.00","$12,000.00","$52,000.00","$52,000.00","$67,600.00","$78,000.00"
Cambio de Alta Voz iphone 11 pro max,CAMBIO DE ALTA VOZ ,$7.00,"$10,500.00","$16,800.00","$56,800.00","$56,800.00","$73,840.00","$85,200.00"
Cambio de Alta Voz iphone 12 mini,CAMBIO DE ALTA VOZ ,$10.00,"$15,000.00","$24,000.00","$64,000.00","$64,000.00","$83,200.00","$96,000.00"
Cambio de Alta Voz iphone 12/12 pro,CAMBIO DE ALTA VOZ ,$4.00,"$6,000.00","$9,600.00","$49,600.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de Alta Voz iphone 12 pro max,CAMBIO DE ALTA VOZ ,$12.00,"$18,000.00","$28,800.00","$68,800.00","$68,000.00","$88,400.00","$102,000.00"
Cambio de Alta Voz iphone 13 mini,CAMBIO DE ALTA VOZ ,$7.00,"$10,500.00","$16,800.00","$56,800.00","$56,800.00","$73,840.00","$85,200.00"
Cambio de Alta Voz iphone 13,CAMBIO DE ALTA VOZ ,$8.00,"$12,000.00","$19,200.00","$59,200.00","$59,500.00","$77,350.00","$89,250.00"
Cambio de Alta Voz  iphone 13 pro,CAMBIO DE ALTA VOZ ,$5.00,"$7,500.00","$12,000.00","$52,000.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de Alta Voz iphone 13 pro max,CAMBIO DE ALTA VOZ ,$3.00,"$4,500.00","$7,200.00","$47,200.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de Alta Voz iphone 14,CAMBIO DE ALTA VOZ ,$4.00,"$6,000.00","$9,600.00","$49,600.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de Alta Voz iphone 14 plus,CAMBIO DE ALTA VOZ ,$6.00,"$9,000.00","$14,400.00","$54,400.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de Alta Voz iphone 14 pro,CAMBIO DE ALTA VOZ ,$3.00,"$4,500.00","$7,200.00","$47,200.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de Alta Voz iphone 14 pro max,CAMBIO DE ALTA VOZ ,$3.00,"$4,500.00","$7,200.00","$47,200.00","$65,000.00","$84,500.00","$97,500.00"
Cambio de Alta Voz iphone 15,CAMBIO DE ALTA VOZ ,$7.00,"$10,500.00","$16,800.00","$56,800.00","$56,800.00","$73,840.00","$85,200.00"
Cambio de Alta Voz iphone 15 plus,CAMBIO DE ALTA VOZ ,$7.00,"$10,500.00","$16,800.00","$56,800.00","$56,800.00","$73,840.00","$85,200.00"
Cambio de Alta Voz iphone 15 pro,CAMBIO DE ALTA VOZ ,$3.00,"$4,500.00","$7,200.00","$47,200.00","$65,000.00","$84,500.00","$97,500.00"
Cambio de Alta Voz iphone 15 pro max,CAMBIO DE ALTA VOZ ,$7.00,"$10,500.00","$16,800.00","$56,800.00","$65,000.00","$84,500.00","$97,500.00"
Cambio de Alta Voz iphone 16,CAMBIO DE ALTA VOZ ,$9.00,"$13,500.00","$21,600.00","$61,600.00","$68,000.00","$88,400.00","$102,000.00"
Cambio de Alta Voz iphone 16PLUS,CAMBIO DE ALTA VOZ ,$10.00,"$15,000.00","$24,000.00","$64,000.00","$69,500.00","$90,350.00","$104,250.00"
Cambio de Alta Voz iphone 16P,CAMBIO DE ALTA VOZ ,$10.00,"$15,000.00","$24,000.00","$64,000.00","$69,500.00","$90,350.00","$104,250.00"
Cambio de Alta Voz iphone 16PM,CAMBIO DE ALTA VOZ ,$10.00,"$15,000.00","$24,000.00","$64,000.00","$69,500.00","$90,350.00","$104,250.00"
Cambio de chasis iphone 8 /SE2/SE3,CAMBIO DE CHASIS ,$20.00,"$30,000.00","$48,000.00","$88,000.00","$88,000.00","$114,400.00","$132,000.00"
Cambio de chasis iphone 8 plus,CAMBIO DE CHASIS ,$22.00,"$33,000.00","$52,800.00","$92,800.00","$92,800.00","$120,640.00","$139,200.00"
Cambio de chasis iphone X / XS/xsmax,CAMBIO DE CHASIS ,$31.00,"$46,500.00","$74,400.00","$114,400.00","$114,500.00","$148,850.00","$171,750.00"
Cambio de chasis iphone XR,CAMBIO DE CHASIS ,$24.00,"$36,000.00","$57,600.00","$97,600.00","$97,600.00","$126,880.00","$146,400.00"
Cambio de chasis iphone 11,CAMBIO DE CHASIS ,$24.00,"$36,000.00","$57,600.00","$97,600.00","$97,600.00","$126,880.00","$146,400.00"
Cambio de chasis iphone 11 pro,CAMBIO DE CHASIS ,$45.00,"$67,500.00","$108,000.00","$148,000.00","$148,000.00","$192,400.00","$222,000.00"
Cambio de chasis iphone 11 pro max,CAMBIO DE CHASIS ,$45.00,"$67,500.00","$108,000.00","$148,000.00","$148,000.00","$192,400.00","$222,000.00"
Cambio de chasis iphone 12 mini,CAMBIO DE CHASIS ,$25.00,"$37,500.00","$60,000.00","$100,000.00","$100,000.00","$130,000.00","$150,000.00"
Cambio de chasis iphone 12,CAMBIO DE CHASIS ,$25.00,"$37,500.00","$60,000.00","$100,000.00","$100,000.00","$130,000.00","$150,000.00"
Cambio de chasis iphone 12 pro,CAMBIO DE CHASIS ,$45.00,"$67,500.00","$108,000.00","$148,000.00","$148,000.00","$192,400.00","$222,000.00"
Cambio de chasis iphone 12 pro max,CAMBIO DE CHASIS ,$45.00,"$67,500.00","$108,000.00","$148,000.00","$148,000.00","$192,400.00","$222,000.00"
Cambio de chasis iphone 13 mini,CAMBIO DE CHASIS ,$30.00,"$45,000.00","$72,000.00","$112,000.00","$120,000.00","$156,000.00","$180,000.00"
Cambio de chasis iphone 13,CAMBIO DE CHASIS ,$30.00,"$45,000.00","$72,000.00","$112,000.00","$120,000.00","$156,000.00","$180,000.00"
Cambio de chasis iphone 13 pro,CAMBIO DE CHASIS ,$45.00,"$67,500.00","$108,000.00","$148,000.00","$148,000.00","$192,400.00","$222,000.00"
Cambio de chasis iphone 13 pro max,CAMBIO DE CHASIS ,$45.00,"$67,500.00","$108,000.00","$148,000.00","$148,000.00","$192,400.00","$222,000.00"
Cambio de chasis iphone 14,CAMBIO DE CHASIS ,$30.00,"$45,000.00","$72,000.00","$112,000.00","$120,000.00","$156,000.00","$180,000.00"
Cambio de chasis iphone 14 plus,CAMBIO DE CHASIS ,$35.00,"$52,500.00","$84,000.00","$124,000.00","$125,000.00","$162,500.00","$187,500.00"
