COSTO POR COBRO MP EN 3 CUOTAS ,30%,,,,,,,
COSTO POR OFRECER 6 CUOTAS ,50%,,,,,,,
COSTOS FIJOS (S/A/C/G),"$40,000.00",,,,,,,
GANANCIA 50% mas 10% iibb+manotributo total60%,1.6,,,,,,,
DOLAR,"$1,500.00",,,,,,,
,,,,,,,,
REPARACION,TIPO DE REPARACION,PRECIO DEL REPUESTO EN USD ,PRECIO DEL REPUESTO EN PESOS ,PRECIO CON 60% de ganancia ,PRECIO DE LA REPARACION CON COSTOS FIJOS,PRECIO DE LA REPARACION EN EFECTIVO O TRANSFERENCIA ,PRECIO DE LA CUOTA EN  3 PARTES,PRECIO DE LA REPARACION EN 6 CUOTAS 
Cambio de Modulo iphone 13 pro incell,CAMBIO DE PANTALLA,$55.00,"$82,500.00","$132,000.00","$172,000.00","$172,000.00","$223,600.00","$258,000.00"
Cambio de Modulo iphone 13 pro max original,CAMBIO DE PANTALLA,$150.00,"$225,000.00","$360,000.00","$400,000.00","$400,000.00","$520,000.00","$600,000.00"
Cambio de Modulo iPhone 13 Pro Max soft oled,CAMBIO DE PANTALLA,$100.00,"$150,000.00","$240,000.00","$280,000.00","$304,000.00","$395,200.00","$456,000.00"
Cambio de Modulo iPhone 13 Pro Max incell,CAMBIO DE PANTALLA,$60.00,"$90,000.00","$144,000.00","$184,000.00","$184,000.00","$239,200.00","$276,000.00"
Cambio de Modulo iphone 14 plus original,CAMBIO DE PANTALLA,$150.00,"$225,000.00","$360,000.00","$400,000.00","$400,000.00","$520,000.00","$600,000.00"
Cambio de Modulo iphone 14 plus soft oled ,CAMBIO DE PANTALLA,$110.00,"$165,000.00","$264,000.00","$304,000.00","$304,000.00","$395,200.00","$456,000.00"
Cambio de Modulo iphone 14 plus incell ic,CAMBIO DE PANTALLA,$50.00,"$75,000.00","$120,000.00","$160,000.00","$160,000.00","$208,000.00","$240,000.00"
Cambio de Modulo iphone 14 original,CAMBIO DE PANTALLA,$100.00,"$150,000.00","$240,000.00","$280,000.00","$280,000.00","$364,000.00","$420,000.00"
Cambio de Modulo iphone 14 soft oled,CAMBIO DE PANTALLA,$80.00,"$120,000.00","$192,000.00","$232,000.00","$232,000.00","$301,600.00","$348,000.00"
Cambio de Modulo iphone 14 incell,CAMBIO DE PANTALLA,$50.00,"$75,000.00","$120,000.00","$160,000.00","$160,000.00","$208,000.00","$240,000.00"
Cambio de Modulo iphone 14 pro original,CAMBIO DE PANTALLA,$180.00,"$270,000.00","$432,000.00","$472,000.00","$472,000.00","$613,600.00","$708,000.00"
Cambio de Modulo iphone 14 pro soft oled,CAMBIO DE PANTALLA,$155.00,"$232,500.00","$372,000.00","$412,000.00","$412,000.00","$535,600.00","$618,000.00"
